Area-2	area	va	weekly
	VARIABLES	BEGIN	END
	122	2	52

Area-2	weekly	OV. COST	OP. COST	OP. COST	OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	MRG. PRICE	MRG. PRICE	CO2 EMIS.	BALANCE	BALANCE	BALANCE	BALANCE	ROW BAL.	PSP	MISC. NDG	LOAD	LOAD	LOAD	LOAD	H. ROR	H. ROR	H. ROR	H. ROR	WIND	WIND	WIND	WIND	SOLAR	SOLAR	SOLAR	SOLAR	NUCLEAR	NUCLEAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	LIGNITE	LIGNITE	COAL	COAL	COAL	COAL	GAS	GAS	GAS	GAS	OIL	OIL	OIL	OIL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. STOR	H. STOR	H. PUMP	H. PUMP	H. PUMP	H. PUMP	H. LEV	H. LEV	H. LEV	H. LEV	H. INFL	H. INFL	H. INFL	H. INFL	H. OVFL	H. OVFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. VAL	H. VAL	H. COST	H. COST	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	LOLD	LOLD	LOLP	AVL DTG	AVL DTG	AVL DTG	AVL DTG	DTG MRG	DTG MRG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	MAX MRG	MAX MRG	NP COST	NP COST	NP COST	NP COST	NODU	NODU	NODU	NODU
	41	0	0	0	0	0	-0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16800	0	16800	16800	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	16800	0	16800	16800	0	0	0	0	8400	0	8400	8400	0	0	0	0	168	0	168	168
	42	0	0	0	0	0	-0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16800	0	16800	16800	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	16800	0	16800	16800	0	0	0	0	8400	0	8400	8400	0	0	0	0	168	0	168	168
	43	0	0	0	0	0	-0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16800	0	16800	16800	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	16800	0	16800	16800	0	0	0	0	8400	0	8400	8400	0	0	0	0	168	0	168	168
	44	0	0	0	0	0	-0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16800	0	16800	16800	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	16800	0	16800	16800	0	0	0	0	8400	0	8400	8400	0	0	0	0	168	0	168	168
	45	0	0	0	0	0	-0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16800	0	16800	16800	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	16800	0	16800	16800	0	0	0	0	8400	0	8400	8400	0	0	0	0	168	0	168	168
	46	0	0	0	0	0	-0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16800	0	16800	16800	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	16800	0	16800	16800	0	0	0	0	8400	0	8400	8400	0	0	0	0	168	0	168	168
	47	0	0	0	0	0	-0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16800	0	16800	16800	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	16800	0	16800	16800	0	0	0	0	8400	0	8400	8400	0	0	0	0	168	0	168	168
	48	0	0	0	0	0	-0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16800	0	16800	16800	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	16800	0	16800	16800	0	0	0	0	8400	0	8400	8400	0	0	0	0	168	0	168	168
	49	0	0	0	0	0	-0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16800	0	16800	16800	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	16800	0	16800	16800	0	0	0	0	8400	0	8400	8400	0	0	0	0	168	0	168	168
	50	0	0	0	0	0	-0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16800	0	16800	16800	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	16800	0	16800	16800	0	0	0	0	8400	0	8400	8400	0	0	0	0	168	0	168	168
	51	0	0	0	0	0	-0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16800	0	16800	16800	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	16800	0	16800	16800	0	0	0	0	8400	0	8400	8400	0	0	0	0	168	0	168	168
	52	0	0	0	0	0	-0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11200	7920	0	16800	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	5600	3960	0	8400	0	0	0	0	0	16787	19	16760	16800	0	0	0	0	5600	3960	0	8400	0	0	0	0	112	79	0	168
