Area	area	va	weekly
	VARIABLES	BEGIN	END
	122	1	52

Area	weekly	OV. COST	OP. COST	OP. COST	OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	MRG. PRICE	MRG. PRICE	CO2 EMIS.	BALANCE	BALANCE	BALANCE	BALANCE	ROW BAL.	PSP	MISC. NDG	LOAD	LOAD	LOAD	LOAD	H. ROR	H. ROR	H. ROR	H. ROR	WIND	WIND	WIND	WIND	SOLAR	SOLAR	SOLAR	SOLAR	NUCLEAR	NUCLEAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	LIGNITE	LIGNITE	COAL	COAL	COAL	COAL	GAS	GAS	GAS	GAS	OIL	OIL	OIL	OIL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. STOR	H. STOR	H. PUMP	H. PUMP	H. PUMP	H. PUMP	H. LEV	H. LEV	H. LEV	H. LEV	H. INFL	H. INFL	H. INFL	H. INFL	H. OVFL	H. OVFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. VAL	H. VAL	H. COST	H. COST	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	LOLD	LOLD	LOLP	AVL DTG	AVL DTG	AVL DTG	AVL DTG	DTG MRG	DTG MRG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	MAX MRG	MAX MRG	NP COST	NP COST	NP COST	NP COST	NODU	NODU	NODU	NODU
	39	71400	71400	0	71400	71400	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14280	0	14280	14280	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	5880	0	5880	5880	0	0	0	0	0	31080	0	31080	31080	16800	0	16800	16800	22680	0	22680	22680	0	0	0	0	168	0	168	168
	40	71400	71400	0	71400	71400	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14280	0	14280	14280	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	5880	0	5880	5880	0	0	0	0	0	31080	0	31080	31080	16800	0	16800	16800	22680	0	22680	22680	0	0	0	0	168	0	168	168
	41	71400	71400	0	71400	71400	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14280	0	14280	14280	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	5880	0	5880	5880	0	0	0	0	0	31080	0	31080	31080	16800	0	16800	16800	22680	0	22680	22680	0	0	0	0	168	0	168	168
	42	77000	77000	23216	0	84000	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15400	4643	0	16800	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	7700	2322	0	8400	0	0	0	0	0	32200	4643	16800	33600	15400	4643	0	16800	23100	6965	0	25200	0	0	0	0	154	46	0	168
	43	77000	77000	23216	0	84000	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15400	4643	0	16800	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	7700	2322	0	8400	0	0	0	0	0	32200	4643	16800	33600	15400	4643	0	16800	23100	6965	0	25200	0	0	0	0	154	46	0	168
	44	71400	71400	0	71400	71400	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14280	0	14280	14280	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	5880	0	5880	5880	0	0	0	0	0	31080	0	31080	31080	16800	0	16800	16800	22680	0	22680	22680	0	0	0	0	168	0	168	168
	45	71400	71400	0	71400	71400	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14280	0	14280	14280	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	5880	0	5880	5880	0	0	0	0	0	31080	0	31080	31080	16800	0	16800	16800	22680	0	22680	22680	0	0	0	0	168	0	168	168
	46	71400	71400	0	71400	71400	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14280	0	14280	14280	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	5880	0	5880	5880	0	0	0	0	0	31080	0	31080	31080	16800	0	16800	16800	22680	0	22680	22680	0	0	0	0	168	0	168	168
	47	71400	71400	0	71400	71400	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14280	0	14280	14280	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	5880	0	5880	5880	0	0	0	0	0	31080	0	31080	31080	16800	0	16800	16800	22680	0	22680	22680	0	0	0	0	168	0	168	168
	48	71400	71400	0	71400	71400	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14280	0	14280	14280	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	5880	0	5880	5880	0	0	0	0	0	31080	0	31080	31080	16800	0	16800	16800	22680	0	22680	22680	0	0	0	0	168	0	168	168
	49	77000	77000	23216	0	84000	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15400	4643	0	16800	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	7700	2322	0	8400	0	0	0	0	0	32200	4643	16800	33600	15400	4643	0	16800	23100	6965	0	25200	0	0	0	0	154	46	0	168
	50	71400	71400	0	71400	71400	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14280	0	14280	14280	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	5880	0	5880	5880	0	0	0	0	0	31080	0	31080	31080	16800	0	16800	16800	22680	0	22680	22680	0	0	0	0	168	0	168	168
	51	71400	71400	0	71400	71400	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14280	0	14280	14280	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	5880	0	5880	5880	0	0	0	0	0	31080	0	31080	31080	16800	0	16800	16800	22680	0	22680	22680	0	0	0	0	168	0	168	168
	52	71400	71400	0	71400	71400	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	8400	0	8400	8400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14280	0	14280	14280	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	5880	0	5880	5880	0	0	0	0	0	31080	0	31080	31080	16800	0	16800	16800	22680	0	22680	22680	0	0	0	0	168	0	168	168
